Carimbo de data/hora,Qual é o seu grau de escolaridade?,Em que ano você finalizou o ensino médio?,Você cursou o ensino médio em escola pública ou particular?,Você cursou ensino médio tradicional ou profissionalizante?,Você tem/teve contato com alguma linguagem de programação?,Quais linguagens de programação você já usou?,Já utilizou algum software com funcionalidades estatísticas?,Qual(is) software(s) com funcionalidades estatísticas você usa ou já usou?,Qual a importância que você atribui à Estatística? ,Qual a sua principal expectativa após a conclusão da graduação?,Qual o seu sexo?,Qual a sua altura?,Qual o seu peso?,Qual a data do seu nascimento?,Qual das seguintes categorias descreve melhor sua situação de emprego?,Com quem você mora?,Quantos irmãos você tem?,Qual a sua origem?,Qual seu meio de transporte predominante que utilizava ou utilizaria para Universidade em atividades presenciais?,"Em média, quanto tempo você demora para chegar a Universidade?",Possui animal de estimação?,Toca algum instrumento musical?,Você pratica atividade física regularmente?,Quantas vezes por semana você se exercita?,Qual atividade você pratica?,"Observe as figuras abaixo. Uma delas se chama ""Bouba"" e a outra ""Kiki"". Quem é quem?",Quantos quadrados há na figura?
06/03/2024 09:58:19,Ensino médio,2022,Totalmente em escola particular,Ensino médio profissionalizante (técnico),Não,Nunca usei,Não,Nunca usei,10,Aumento salarial e oportunidades mais promissoras,Masculino,185,73,15/07/2005,Não trabalho,Com os pais,1,Outro Estado,Táxi/Aplicativo,15,Cachorro,Não toco nenhum instrumento,Sim,2,"Corrida, Basquete","A da esquerda se chama Kiki, a da direita se chama Bouba.",18
06/03/2024 10:42:49,Ensino superior,2011,Totalmente em escola pública,Ensino médio tradicional,Sim,"C, PHP, Python, Java, SQL, JavaScript, Pascal;Lisp;Emacs-Lisp;",Sim,"Excel ou similares, Matlab",10,Seguir os estudos,Masculino,175,110,16/11/1992,Não trabalho,Com os pais,2,Região metropolitana,Carro/moto próprio,25,Cachorro,Não toco nenhum instrumento,Sim,5,Musculação,"A da esquerda se chama Kiki, a da direita se chama Bouba.",36
06/03/2024 11:04:20,Ensino médio,2013,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,10,"E um conjunto,boas oportunidades de emprego e me especializar mais .",Feminino,163,52,28/02/1994,Não trabalho,Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio,3,Outro Estado,Transporte público,20,Cachorro,Não toco nenhum instrumento,Sim,5,Caminhada,"A da esquerda se chama Kiki, a da direita se chama Bouba.",27
06/03/2024 12:42:12,Ensino superior,2015,Totalmente em escola particular,Ensino médio tradicional,Sim,"R, Python",Sim,"R, Excel ou similares, Stata",10,Aumento salarial e oportunidades mais promissoras,Masculino,180,65,18/07/1997,Trabalho ocasional,Com os pais,2,Interior do Paraná,Transporte público,60,Cachorro,Não toco nenhum instrumento,Sim,1,Ciclismo,"A da esquerda se chama Kiki, a da direita se chama Bouba.",26
06/03/2024 16:06:09,Ensino médio,2023,Totalmente em escola particular,Ensino médio tradicional,Não,Nunca usei,Sim,Excel ou similares,10,Conseguir um emprego,Masculino,184,75,01/08/2006,Trabalho ocasional,Com os pais,1,Curitiba,Transporte público,100,"Gato, Pássaro",Não toco nenhum instrumento,Não,0,Nenhuma,"A da esquerda se chama Kiki, a da direita se chama Bouba.",27
06/03/2024 16:11:47,Ensino médio,2023,Totalmente em escola particular,Ensino médio tradicional,Sim,Python,Não,Excel ou similares,10,Conseguir um emprego,Masculino,181,80,26/09/2005,Não trabalho,Com os pais,1,Curitiba,Transporte público,80,Gato,Não toco nenhum instrumento,Sim,5,"Musculação, Futebol, Basquete","A da esquerda se chama Kiki, a da direita se chama Bouba.",40
06/03/2024 16:25:48,Ensino superior,1998,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Não,Excel ou similares,10,Seguir os estudos,Masculino,176,83,27/01/1981,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio,4,Curitiba,Carro/moto próprio,45,Cachorro,Violão,Sim,2,Corrida,"A da esquerda se chama Bouba, a da direita se chama Kiki.",26
06/03/2024 16:33:16,pós graduação lato sensu,2014,Totalmente em escola pública,Ensino médio tradicional,Sim,"R, C++, Python, SQL",Sim,"R, Excel ou similares",10,Aumento salarial e oportunidades mais promissoras,Feminino,164,55,11/09/1997,Trabalho com carteira assinada/Vínculo Formal,Com os pais,2,Curitiba,Carro/moto próprio,25,Cachorro,Não toco nenhum instrumento,Sim,3,"Corrida, Pilates","A da esquerda se chama Kiki, a da direita se chama Bouba.",36
06/03/2024 16:38:08,Ensino médio,2023,Totalmente em escola particular,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,10,Seguir os estudos,Masculino,184,80,06/09/2006,Não trabalho,"Pensão, quarto alugado ou algo similar",2,Interior do Paraná,A pé,5,Não possuo,Não toco nenhum instrumento,Sim,5,Musculação,"A da esquerda se chama Kiki, a da direita se chama Bouba.",40
06/03/2024 16:43:10,Ensino médio,2023,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Não,Nunca usei,Sim,Excel ou similares,8,Aumento salarial e oportunidades mais promissoras,Masculino,170,52,28/06/2005,Estágio,Com os pais,2,Região metropolitana,Transporte público,30,"Cachorro, Gato",Violão,Não,0,Nenhuma,"A da esquerda se chama Kiki, a da direita se chama Bouba.",39
06/03/2024 18:11:18,Ensino médio,2009,"Parte em escola pública, parte em particular",Ensino médio tradicional,Sim,C,Sim,Excel ou similares,9,Seguir os estudos,Masculino,177,92,11/04/1992,Trabalho com carteira assinada/Vínculo Formal,Com os pais,2,Curitiba,Carro/moto próprio,30,Cachorro,Não toco nenhum instrumento,Sim,4,Musculação,"A da esquerda se chama Kiki, a da direita se chama Bouba.",27
06/03/2024 18:40:54,Ensino médio,2022,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Sim,Excel ou similares,10,Aumento salarial e oportunidades mais promissoras,Feminino,160,64,12/04/2005,Trabalho com carteira assinada/Vínculo Formal,Sozinho,1,Curitiba,Transporte público,25,Cachorro,Não toco nenhum instrumento,Sim,5,Musculação,"A da esquerda se chama Kiki, a da direita se chama Bouba.",40
06/03/2024 19:31:32,Ensino superior,2022,Totalmente em escola particular,Ensino médio tradicional,Não,Nunca usei,Sim,Excel ou similares,10,Aumento salarial e oportunidades mais promissoras,Masculino,170,90,04/02/2024,Trabalho ocasional,Com os pais,1,Curitiba,Carro/moto próprio,20,Não possuo,Não toco nenhum instrumento,Sim,4,Futvolei ,"A da esquerda se chama Kiki, a da direita se chama Bouba.",27
06/03/2024 20:31:13,Ensino médio,2023,Totalmente em escola particular,Ensino médio tradicional,Sim,Lua,Não,Nunca usei,10,Seguir os estudos,Masculino,174,70,11/05/2006,Não trabalho,Com os pais,0,Região metropolitana,Táxi/Aplicativo,20,Não possuo,Não toco nenhum instrumento,Não,0,Nenhuma,"A da esquerda se chama Kiki, a da direita se chama Bouba.",25
06/03/2024 21:23:46,Ensino médio,2014,Totalmente em escola pública,Ensino médio tradicional,Sim,C#,Não,Nunca usei,10,Aumento salarial e oportunidades mais promissoras,Masculino,180,84,01/08/1996,Trabalho com carteira assinada/Vínculo Formal,Com os pais,1,Interior do Paraná,Carro/moto próprio,50,Cachorro,Não toco nenhum instrumento,Sim,5,Musculação,"A da esquerda se chama Kiki, a da direita se chama Bouba.",33
07/03/2024 09:57:32,Ensino superior,2013,Totalmente em escola particular,Ensino médio tradicional,Não,Nunca usei,Sim,Excel ou similares,8,Aumento salarial e oportunidades mais promissoras,Masculino,170,72,11/09/1996,Trabalho por contrato,Sozinho,1,Curitiba,Transporte público,30,Cachorro,"Flauta, Outro",Sim,6,"Corrida, Musculação","A da esquerda se chama Kiki, a da direita se chama Bouba.",27
07/03/2024 14:37:08,Ensino médio,2013,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,10,Aumento salarial e oportunidades mais promissoras,Masculino,189,120,10/10/1992,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio,1,Curitiba,Carro/moto próprio,25,Não possuo,Flauta,Não,1,"Pilates, Basquete","A da esquerda se chama Bouba, a da direita se chama Kiki.",0
07/03/2024 16:23:37,Ensino médio,2023,Totalmente em escola particular,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,8,Conseguir um emprego,Feminino,170,63,07/02/2006,Não trabalho,Com os pais,0,Curitiba,Carro/moto próprio,25,Cachorro,Não toco nenhum instrumento,Sim,7,Musculação,"A da esquerda se chama Kiki, a da direita se chama Bouba.",34
07/03/2024 16:31:16,Ensino superior,2014,Totalmente em escola particular,Ensino médio tradicional,Sim,"C, C++, Python, Java",Sim,"Excel ou similares, Matlab",10,Seguir os estudos,Masculino,185,73,24/11/1997,Trabalho com carteira assinada/Vínculo Formal,Com os pais,0,Curitiba,Transporte público,45,"Não possuo, Pássaro",Violão,Sim,3,Musculação,"A da esquerda se chama Bouba, a da direita se chama Kiki.",36
